,reward_log
0,18.0
1,15.0
2,18.0
3,16.0
4,12.0
5,23.0
6,26.0
7,43.0
8,26.0
9,30.0
10,18.0
11,36.0
12,29.0
13,79.0
14,56.0
15,67.0
16,40.0
17,54.0
18,65.0
19,39.0
20,34.0
21,27.0
22,51.0
23,48.0
24,42.0
25,43.0
26,31.0
27,23.0
28,26.0
29,24.0
30,28.0
31,24.0
32,27.0
33,35.0
34,32.0
35,29.0
36,29.0
37,42.0
38,24.0
39,36.0
40,35.0
41,43.0
42,29.0
43,44.0
44,44.0
45,85.0
46,100.0
47,43.0
48,47.0
49,45.0
50,51.0
51,78.0
52,200.0
53,78.0
54,70.0
55,76.0
56,26.0
57,21.0
58,22.0
59,23.0
60,18.0
61,11.0
62,10.0
63,10.0
64,9.0
65,9.0
66,10.0
67,9.0
68,9.0
69,8.0
70,8.0
71,9.0
72,10.0
73,10.0
74,8.0
75,9.0
76,10.0
77,10.0
78,10.0
79,10.0
80,10.0
81,10.0
82,9.0
83,10.0
84,10.0
85,9.0
86,10.0
87,10.0
88,10.0
89,9.0
90,8.0
91,8.0
92,8.0
93,10.0
94,9.0
95,10.0
96,8.0
97,10.0
98,10.0
99,10.0
