,reward_log
0,13.0
1,8.0
2,9.0
3,9.0
4,11.0
5,10.0
6,11.0
7,10.0
8,10.0
9,9.0
10,11.0
11,10.0
12,9.0
13,11.0
14,9.0
15,11.0
16,10.0
17,10.0
18,9.0
19,12.0
20,10.0
21,14.0
22,9.0
23,8.0
24,8.0
25,12.0
26,10.0
27,10.0
28,10.0
29,9.0
30,9.0
31,10.0
32,10.0
33,10.0
34,9.0
35,10.0
36,9.0
37,9.0
38,8.0
39,14.0
40,9.0
41,10.0
42,10.0
43,13.0
44,12.0
45,10.0
46,9.0
47,64.0
48,54.0
49,67.0
50,133.0
51,57.0
52,126.0
53,71.0
54,134.0
55,76.0
56,89.0
57,64.0
58,75.0
59,77.0
60,53.0
61,86.0
62,76.0
63,93.0
64,87.0
65,108.0
66,96.0
67,105.0
68,80.0
69,91.0
70,94.0
71,187.0
72,140.0
73,145.0
74,126.0
75,140.0
76,118.0
77,147.0
78,138.0
79,200.0
80,143.0
81,200.0
82,200.0
83,200.0
84,200.0
85,200.0
86,200.0
87,200.0
88,200.0
89,200.0
90,200.0
91,200.0
92,200.0
93,200.0
94,178.0
95,200.0
96,200.0
97,200.0
98,200.0
99,200.0
