,reward_log
0,22.0
1,11.0
2,17.0
3,55.0
4,29.0
5,16.0
6,45.0
7,31.0
8,10.0
9,28.0
10,144.0
11,17.0
12,23.0
13,13.0
14,30.0
15,22.0
16,13.0
17,28.0
18,20.0
19,33.0
20,39.0
21,51.0
22,29.0
23,20.0
24,10.0
25,22.0
26,11.0
27,36.0
28,21.0
29,44.0
30,24.0
31,47.0
32,36.0
33,36.0
34,54.0
35,12.0
36,68.0
37,25.0
38,33.0
39,30.0
40,21.0
41,29.0
42,64.0
43,103.0
44,33.0
45,11.0
46,81.0
47,15.0
48,30.0
49,16.0
50,60.0
51,46.0
52,20.0
53,16.0
54,25.0
55,58.0
56,27.0
57,100.0
58,25.0
59,42.0
60,108.0
61,50.0
62,15.0
63,38.0
64,59.0
65,59.0
66,41.0
67,24.0
68,93.0
69,40.0
70,64.0
71,80.0
72,37.0
73,78.0
74,29.0
75,41.0
76,30.0
77,44.0
78,29.0
79,15.0
80,47.0
81,43.0
82,26.0
83,72.0
84,70.0
85,109.0
86,29.0
87,44.0
88,43.0
89,48.0
90,56.0
91,92.0
92,114.0
93,26.0
94,20.0
95,60.0
96,64.0
97,45.0
98,32.0
99,200.0
